id,currentProgress,startTime,endTime,itemId
0,20,1577881800,1577885880,0
1,68,1577969040,1577977140,0
2,78,1578205800,1578207600,0
3,130,1578310200,1578320400,0
4,188,1578400200,1578409740,0
5,201,1578497400,1578501060,0
6,260,1579440600,1579449000,0
7,287,1579527180,1579530720,0
8,333,1579588200,1579595460,0
9,345,1579610280,1579611180,0
10,366,1579617000,1579618080,0
11,422,1579869000,1579878180,0
12,456,1579955400,1579964580,0
13,501,1580124600,1580136720,0
14,510,1580138760,1580140560,0
15,550,1580214000,1580223360,0
16,584,1580304600,1580308680,0
17,10,1605888000,1605897000,1
18,11,1606060800,1606061700,1
19,19,1606233600,1606240800,1
20,22,1607788800,1607791500,1
21,35,1607875200,1607886900,1
22,48,1607961600,1607973300,1
23,49,1608652800,1608653700,1
24,66,1609171200,1609186500,1
25,68,1609257600,1609259400,1
26,69,1577894400,1577895300,1
27,74,1577980800,1577985300,1
28,82,1578067200,1578074400,1
29,89,1578240000,1578246300,1
30,93,1578326400,1578330000,1
31,99,1578412800,1578418200,1
32,100,1578585600,1578586500,1
33,114,1578672000,1578684600,1
34,120,1578758400,1578763800,1
35,124,1578844800,1578848400,1
36,133,1578931200,1578939300,1
37,137,1579017600,1579021200,1
38,139,1579449600,1579451400,1
39,141,1579622400,1579624200,1
40,145,1579708800,1579712400,1
41,149,1580745600,1580749200,1
42,150,1580832000,1580832900,1
43,156,1581350400,1581355800,1
44,163,1581436800,1581443100,1
45,174,1581868800,1581878700,1
46,185,1581955200,1581965100,1
47,198,1582041600,1582053300,1
48,212,1582214400,1582227000,1
49,222,1582387200,1582396200,1
50,234,1582473600,1582484400,1
51,244,1582560000,1582569000,1
52,250,1582646400,1582651800,1
53,254,1582732800,1582736400,1
54,265,1582905600,1582915500,1
55,288,1582992000,1583012700,1
56,293,1583078400,1583082900,1
57,300,1583337600,1583343900,1
58,312,1583424000,1583434800,1
59,338,1583596800,1583620200,1
60,347,1583683200,1583691300,1
61,354,1583769600,1583775900,1
62,360,1583856000,1583861400,1
63,371,1583942400,1583952300,1
64,396,1584115200,1584137700,1
65,419,1584201600,1584222300,1
66,429,1584288000,1584297000,1
67,438,1584374400,1584382500,1
68,447,1584460800,1584468900,1
69,458,1584547200,1584557100,1
70,472,1584720000,1584732600,1
71,506,1584806400,1584837000,1
72,515,1584892800,1584900900,1
73,525,1584979200,1584988200,1
74,539,1585324800,1585337400,1
75,557,1585411200,1585427400,1
76,563,1585670400,1585675800,1
77,573,1585756800,1585765800,1
78,587,1585929600,1585942200,1
79,598,1586016000,1586025900,1
80,609,1586102400,1586112300,1
81,617,1586188800,1586196000,1
82,626,1586275200,1586283300,1
83,640,1586361600,1586374200,1
84,658,1586620800,1586637000,1
85,665,1586707200,1586713500,1
86,674,1586793600,1586801700,1
87,682,1586880000,1586887200,1
88,688,1586966400,1586971800,1
89,693,1587052800,1587057300,1
90,694,1587139200,1587140100,1
91,709,1587225600,1587239100,1
92,714,1587571200,1587575700,1
93,723,1587744000,1587752100,1
94,727,1587916800,1587920400,1
95,743,1588262400,1588276800,1
96,750,1588348800,1588355100,1
97,762,1588608000,1588618800,1
98,768,1588694400,1588699800,1
99,774,1588780800,1588786200,1
100,780,1588867200,1588872600,1
101,787,1589126400,1589132700,1
102,789,1589212800,1589214600,1
103,797,1589299200,1589306400,1
104,805,1589385600,1589392800,1
105,811,1589558400,1589563800,1
106,814,1589644800,1589647500,1
107,823,1589731200,1589739300,1
108,828,1589904000,1589908500,1
109,829,1589904000,1589904900,1
110,830,1590076800,1590077700,1
111,831,1590595200,1590596100,1
